TYPE,NAME,LENGTH,HEIGHT,WEIGHT,OPTION1,OPTION2,OPTION3
Cargo,Grain,20,5.5,18000,isFood,isOpen,
Cargo,Grain,20,5.5,18000,isFood,isOpen,
Cargo,Grain,20,5.5,18000,isFood,isOpen,
Cargo,Grain,20,5.5,18000,isFood,isOpen,
Cargo,Grain,20,5.5,18000,isFood,isOpen,
Cargo,Grain,20,5.5,18000,isFood,isOpen,
Cargo,Grain,20,5.5,18000,isFood,isOpen,
Tanker,Juice,19,5.5,21000,isFood,,
Tanker,Juice,19,5.5,21000,isFood,,
Tanker,Juice,19,5.5,21000,isFood,,
Tanker,Juice,19,5.5,21000,isFood,isEmpty,
Tanker,Juice,19,5.5,21000,isFood,isEmpty,
Tanker,Juice,19,5.5,21000,isFood,isEmpty,
